systemThrouput,
4.894786328,5.002894592
4.913042266,4.996855466
4.909347058,5.00061476
4.904250489,5.031308324
4.907463246,5.024528022
4.905350987,5.034719034
4.908520238,5.035427163
4.905959425,5.010444481
4.910422577,5.027611826
4.912373217,5.012052944
4.916518408,5.029903244
4.902546248,4.986881701
4.901544572,4.993195831
4.911164135,5.023676117
4.906151218,5.011514336
4.913376637,5.009973434
4.906857159,5.010823898
4.894019188,5.020750068
4.909804844,5.01698094
4.894957556,5.00457673
4.916562028,5.006766391
4.921800694,5.023346213
4.900332002,5.015660834
4.911020173,5.023040065
4.897286347,5.033922206
4.900644325,5.021677947
4.913341267,4.996544139
4.90452307,5.020979824
4.903050884,5.016573564
4.902082067,5.017463744
4.913678663,5.020697628
4.907005122,4.992876786
4.91344706,5.038402819
4.911848183,5.031329576
4.912463838,5.014423905
4.908089004,5.003181765
4.92750765,5.022689348
4.919578083,5.016680229
4.899562027,5.004592511
4.918033752,5.043425104
4.914295516,5.03394558
4.920480008,4.997129142
4.911396898,5.024026231
4.917988359,5.004355387
4.912312499,5.01069287
4.909176392,5.024196614
4.917829921,5.007001954
4.917042678,5.030423062
4.908064386,5.013032858
4.916708961,4.998439756
4.909534093,5.01890486
4.924480238,5.037392407
4.923511019,5.028298431
4.907889276,5.007587999
4.917806983,5.011593314
4.915964307,5.003081315
4.905765586,5.031661356
4.908482979,5.014153567
4.926536855,5.044150026
4.908198821,5.011331779
4.919937328,5.007394106
4.923362468,5.022486484
4.915550565,5.011546109
4.911762694,5.019800534
4.909148124,5.025347918
4.919181384,5.016151874
4.900115709,5.02095791
4.906760943,5.015396362
4.914496065,5.007916352
4.922566226,5.031228046
4.90829352,5.021064778
4.918279162,4.993458463
4.92130639,5.011367706
4.901790843,5.014868274
4.913530023,5.012142951
4.912987164,5.011955128
4.912435635,4.999125444
4.914268863,5.01843717
4.910567765,5.028909735
4.915034437,5.002188578
4.917826453,5.020979677
4.909292753,4.995818818
4.911069286,5.026559918
4.91658244,5.031149547
4.912519273,5.024505842
4.912713128,5.030809457
4.91026569,5.026443871
4.919637477,5.010050627
4.91732605,4.998366535
4.914224419,5.033661917
4.907257067,5.015850102
4.916132869,5.002917027
4.917936671,4.981347295
4.914437217,5.012288934
4.918370948,5.013387278
4.91686264,5.000189952
4.915779313,5.033523689
4.919424432,4.998185606
4.910259496,5.026364816
4.92367658,5.007240563
4.914568737,4.996320645
4.917795391,4.991211135
4.911385124,5.011740597
4.923084414,5.012934663
4.912009872,5.007752345
4.917866365,5.006138011
4.914996667,5.027015236
4.919095863,5.025386549
4.904464009,5.020257891
4.922416096,5.002263903
4.915232999,5.015544825
4.917955967,5.034666682
4.911853011,5.024202324
4.921803152,5.006556603
4.908975357,5.035417801
4.918779669,5.031374411
4.928200323,5.006568177
4.921378002,4.988984678
4.919520551,5.018951415
4.918555221,5.014209017
4.916136152,5.000539248
4.929519304,4.994948075
4.92924906,5.013905731
4.929851879,5.011496738
4.912879783,5.012765828
4.92808027,5.015396088
4.912909628,5.012123479
4.916749852,4.993284687
4.911656863,5.030143378
4.919698949,5.007866685
4.931815572,5.024252018
4.926964282,5.01494952
4.917304571,5.005380754
4.911256395,5.025273218
4.92175584,4.990570257
4.93444166,4.999721592
4.91849523,5.026655129
4.913047367,5.017294667
4.926296476,5.01261219
4.912663914,5.029967141
4.925870425,5.011094096
4.918995559,5.026900473
4.923705841,5.038166754
4.912282625,5.053565662
4.922710019,4.98792777
4.922338227,5.033740508
4.919784316,5.018394117
4.937202127,5.000500244
4.92020743,5.035245542
4.912595138,5.00624897
4.91689488,5.035885738
4.913913682,5.01527054
4.921549342,5.029731741
4.922514967,5.019501694
4.921447869,5.01518145
4.923323438,5.021507095
4.921200006,4.998487742
4.917301802,5.004237741
4.920785479,5.027488091
4.931498762,5.005003773
4.912983704,5.013013859
4.930156032,5.002861202
4.910716242,5.020545887
4.926207369,5.00548697
4.935591368,5.021021365
4.927113225,5.034913512
4.92205007,5.026486197
4.931800298,5.029031161
4.924975057,5.011572052
4.924577723,5.029840979
4.921784377,5.007778144
4.912261618,4.997744661
4.920409394,5.022951397
4.929599681,5.014296131
4.925425914,5.022554808
4.925075327,5.000776871
4.928603655,5.023540922
4.923124149,5.005718586
4.913379429,5.02370271
4.932719463,5.017202456
4.921020992,5.02581439
4.928595995,4.994713181
4.912529136,5.013474822
4.915615761,4.995656811
4.917545989,5.020020361
4.938744496,5.01849591
4.915358516,4.986395359
