0,1,2,,,,AVG,STD
98.64623049,132.985903,123.4410546,,118.3577294,,,
102.0553969,122.0953926,128.368816,,117.5065352,,,
106.1186206,117.3444383,147.1562891,,123.5397827,,,
100.9353498,129.8078787,132.4896374,,121.077622,,,
105.6773933,118.718372,132.556647,,118.9841374,,,
101.5601043,128.1884545,131.8009968,,120.5165185,,,
100.4408928,116.0539705,124.1664818,,113.5537817,,,
109.1080082,126.785161,126.7410526,,120.8780739,,,
102.9831615,118.1312387,130.7975809,,117.3039937,,,
110.6395846,118.0191318,124.5587713,,117.7391626,,,
101.596081,117.9004106,132.178369,,117.2249535,,,
112.4390177,122.5329144,130.0885133,,121.6868151,,,
106.3294341,128.3403761,134.075177,,122.9149958,,,
97.65087813,118.1403718,129.0379024,,114.9430508,,,
104.331829,125.6516017,127.343516,,119.1089822,,,
97.66789614,127.3543418,134.0416837,,119.6879739,,,
104.4365126,121.1248213,138.3143431,,121.2918923,,,
110.5422716,123.206191,135.9800207,,123.2428278,,,
109.2603016,116.8315634,126.303064,,117.4649763,,,
105.2613365,120.7873193,133.6695717,,119.9060759,,,
103.9193005,117.2485158,127.2886159,,116.1521441,,,
101.3113735,120.7861251,131.3682418,,117.8219135,,,
99.50890631,123.3179635,135.5429205,,119.4565968,,,
98.75718364,126.7920764,137.8137617,,121.1210072,,,
99.62031609,120.0652912,138.3273962,,119.3376678,,,
102.9898272,120.5175844,132.6593935,,118.7222684,,,
109.3155143,126.8965565,128.3109668,,121.5076792,,,
107.3819366,116.9112184,127.7425267,,117.3452272,,,
110.2856437,124.7024588,125.2304065,,120.0728363,,,
112.0468959,114.5154251,126.0297095,,117.5306768,,,
106.4166738,115.8373881,123.2131699,,115.1557439,,,
100.5119515,122.2326413,128.104372,,116.949655,,,
105.4113579,120.549221,133.1998439,,119.7201409,,,
100.2415728,125.3524853,124.754208,,116.7827554,,,
106.5725354,131.2603556,124.4270316,,120.7533075,,,
101.1811942,120.8723256,126.4231635,,116.1588944,,,
116.7225697,125.527932,122.9468516,,121.7324511,,,
106.6907623,130.6762438,135.3242339,,124.2304133,,,
107.8402393,127.2454056,129.4077934,,121.4978128,,,
109.4117135,132.7453716,129.7411225,,123.9660692,,,
105.0007093,128.5789623,126.0768279,,119.8854998,,,
105.1913065,122.6251688,133.0218153,,120.2794302,,,
102.6617664,120.9295868,129.2343272,,117.6085601,,,
103.6624618,122.0993365,128.4182576,,118.0600186,,,
102.0523424,117.4012733,123.462488,,114.3053679,,,
113.8209422,121.3623752,128.9692494,,121.3841889,,,
105.2068009,122.2306594,125.1335096,,117.5236566,,,
106.4023565,120.2701601,139.7355625,,122.1360264,,,
104.4299363,127.8381765,128.1746637,,120.1475922,,,
107.4415908,120.4028679,126.6710951,,118.1718513,,,
107.5565057,119.8599762,128.6785945,,118.6983588,,,
98.79058797,120.4951725,131.3345238,,116.8734281,,,
115.2496659,119.0006458,133.0417729,,122.4306949,,,
101.3336446,125.2935149,127.2619822,,117.9630473,,,
103.680363,119.9125012,123.727769,,115.7735444,,,
